id,wallet,slug,category,side,entryPrice,cashSize,status,dbPnl,verifyPnl,won,isStopLoss,openedAt,closedAt,day
cmrv0ew4s00xeu2as1ggdz2xj,STRATEGY:political_favorites,"will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting",macro,BUY,0.8135,10.00,resolved,2.2900,2.2926,true,false,2026-07-21T18:51:19.467Z,2026-07-29T20:20:18.263Z,2026-07-21
cmrv0ew5r00xgu2asfntzunsd,STRATEGY:political_favorites,"will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting",macro,BUY,0.8315,10.00,resolved,2.0300,2.0265,true,false,2026-07-21T18:51:19.502Z,2026-07-29T20:20:18.614Z,2026-07-21
cmrv0ew6q00xiu2asiqw8n8fk,STRATEGY:political_favorites,"will-the-fed-pausepausepause-in-the-next-three-decisions-aprjunjul",macro,BUY,0.7830,10.00,resolved,2.7700,2.7714,true,false,2026-07-21T18:51:19.537Z,2026-07-29T22:17:22.297Z,2026-07-21
cmrv0ew7q00xku2as1vvj1ikz,STRATEGY:political_favorites,"will-united-russia-er-gain-the-most-seats-in-the-next-russian-parliamentary-election",politics,BUY,0.5650,10.00,open,0.4400,0.0000,,false,2026-07-21T18:51:19.573Z,,2026-07-21
cmrv0ew8r00xmu2as9hp0zzlx,STRATEGY:political_favorites,"will-person-f-be-the-new-republican-nominee-for-senate-in-south-carolina-20260712140628838",politics,BUY,0.8105,10.00,open,-3.2200,0.0000,,false,2026-07-21T18:51:19.610Z,,2026-07-21
cmrv1i8br00ruu2bw1iqgnbrj,STRATEGY:political_favorites,"will-abdul-el-sayed-win-the-2026-michigan-democratic-primary",politics,BUY,0.8350,10.00,open,1.0600,0.0000,,false,2026-07-21T19:21:54.854Z,,2026-07-21
cmrv1i8cr00rwu2bwpfd29pcg,STRATEGY:political_favorites,"will-haley-stevens-win-the-2026-michigan-democratic-primary",politics,BUY,0.8335,10.00,open,1.1600,0.0000,,false,2026-07-21T19:21:54.889Z,,2026-07-21
cmrv6gzkv04usu2bkpoh1odgk,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-tomic-boyer-2026-07-20",other,BUY,0.6425,14.00,resolved,7.7900,7.7899,true,false,2026-07-21T21:40:54.942Z,2026-07-27T21:30:09.073Z,2026-07-21
cmrvc1ksm0cy8u2bkq1u778um,STRATEGY:political_favorites,"will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election",politics,BUY,0.7583,10.00,open,-0.2200,0.0000,,false,2026-07-22T00:16:53.638Z,,2026-07-22
cmrvcljwo0dquu2bkgkp28vbv,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-mochizu-sekulic-2026-07-20",other,BUY,0.7095,14.90,resolved,6.1000,6.1007,true,false,2026-07-22T00:32:25.606Z,2026-07-27T21:30:09.514Z,2026-07-22
cmrveuqun0gz2u2bkoetuc2ly,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,"mlb-lad-phi-2026-07-21",sports,BUY,0.6150,13.40,resolved,8.3900,8.3886,true,false,2026-07-22T01:35:33.742Z,2026-07-27T21:30:09.898Z,2026-07-22
cmrvffbee0hviu2bkmx9zi9dm,0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,"mlb-sf-kc-2026-07-21",sports,BUY,0.7650,16.70,resolved,5.1300,5.1301,true,false,2026-07-22T01:51:33.492Z,2026-07-27T21:30:10.294Z,2026-07-22
cmrvffbsj0hy6u2bkb2bqmnhp,0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,"mlb-wsh-col-2026-07-21",sports,BUY,0.6250,14.90,resolved,8.9400,8.9400,true,false,2026-07-22T01:51:34.002Z,2026-07-27T21:30:10.701Z,2026-07-22
cmrvffc0i0hzqu2bk80tz6es8,0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,"mlb-lad-phi-2026-07-21",sports,BUY,0.7450,16.85,resolved,5.7700,5.7674,true,false,2026-07-22T01:51:34.289Z,2026-07-27T21:30:09.918Z,2026-07-22
cmrvffc3z0i0cu2bkw7fp6hap,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-wsh-col-2026-07-21",sports,BUY,0.6250,13.70,resolved,8.2200,8.2200,true,false,2026-07-22T01:51:34.414Z,2026-07-27T21:30:10.720Z,2026-07-22
cmrvpixvm02dbu2xog01crmt3,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-kym-henning-2026-07-22",other,BUY,0.8134,15.65,resolved,-15.6500,-15.6500,false,false,2026-07-22T06:34:18.752Z,2026-07-27T21:30:11.146Z,2026-07-22
cmrvtb1e5040gu2vkk9rdd1hn,0xa804390f80019699ab34a282c0df7528fba82a75,"atp-struff-navone-2026-07-22",other,BUY,0.6921,13.93,resolved,6.2000,6.1969,true,false,2026-07-22T08:20:08.508Z,2026-07-27T21:30:11.541Z,2026-07-22
cmrvv1c1106gsu2vk6kg5qase,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-feldbau-buse-2026-07-22",other,BUY,0.6921,20.00,resolved,8.9000,8.8971,true,false,2026-07-22T09:08:34.966Z,2026-07-27T21:30:11.947Z,2026-07-22
cmrvw6m310848u2vk2rgiv5ne,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"itf-petre-andrees-2026-07-22",other,BUY,0.7688,20.00,resolved,6.0200,6.0163,true,false,2026-07-22T09:40:40.898Z,2026-07-27T21:30:12.335Z,2026-07-22
