canonical_id,source_db,execution_mode,condition_id,slug,strategy_cohort,side,entry_timestamp,entry_price,stake_usd,shares,fee_usd,settlement_result,realized_net_pnl_usd,wallet_source,notes
LIVE_cmt9t6md604jzqe0u61kokcrg,polymarket-bot.sqlite,LIVE_ONCHAIN,0x9c53ba523413cc5f1e9d635f66e92e2e5841baa34ecd4269e372b2adb963775b,ucl-cel1-sba-2026-08-26-sba,SOCCER_3WAY_BACK_YES,BUY,1787731511.227,0.721,6.53,9.0,0.1890000000000001,WIN,2.511,0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,Live on-chain executed order
LIVE_cmta6ib4j0bbhqeojug11yay4,polymarket-bot.sqlite,LIVE_ONCHAIN,0x8be360b0463ec8f8ae38aaad8b082d3575af540357b1fd370d84456f40ff7fb8,atp-mena-wehnelt-2026-08-26,TENNIS_ATP_MONEYLINE,BUY,1787753891.54,0.6482536217503473,10.0,15.241934,0.35215,WIN,5.539784000000001,0x1b47e9b128e6b671edebfb2cac23dd3efc40d814,Live on-chain executed order
LIVE_cmta76fam0bojqeoj5clstcsl,polymarket-bot.sqlite,LIVE_ONCHAIN,0x1fceb7b49ecbf339e3a3c85b168d4e666e0c689dc7864b19804b29d462def230,atp-gaubas-cecchin-2026-08-26,TENNIS_ATP_MONEYLINE,BUY,1787755016.686,0.70176,7.030000000000001,10.0,0.2176,WIN,2.982399999999999,0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,Live on-chain executed order
LIVE_cmtbbi7su2ej0qeoj6xrofdxd,polymarket-bot.sqlite,LIVE_ONCHAIN,3142979,will-luke-herdegen-win-the-2026-secret-harbour-state-by-election-20260727232510802,POLITICS_AND_MACRO,BUY,1787822751.486,0.75924,10.0,13.0,0.2501200000000001,LOSS,-9.87012,STRATEGY:political_favorites,Live on-chain executed order
LIVE_cmtffjo79a9s9qeoj7pjnhnvr,polymarket-bot.sqlite,LIVE_ONCHAIN,0x2edb3bb37ea0efa47dcd342c6dba9600382672bfbaa96a7391154a1dc21610e7,atp-park-isomura-2026-08-30,TENNIS_ATP_MONEYLINE,BUY,1788071402.565,0.64356,6.81,10.0,0.2356,WIN,3.5644,0x1610db79f753a80207e1d66716be9e91e627ae49,Live on-chain executed order
LIVE_cmtfskl14az74qeoj2lvjkvqx,polymarket-bot.sqlite,LIVE_ONCHAIN,0xd0a4f942ec9f32835504186bcaaf3aae835974283e8e8ee796aa8228025d5a6c,atp-lehecka-busta-2026-08-30-set-handicap-home-1pt5,TENNIS_SPREADS_HANDICAPS,BUY,1788093280.12,0.64356,6.71,10.0,0.2356,WIN,3.5644,0xbfdd2fb3f69cd098b395eb7390fe973a2158e70e,Live on-chain executed order
VAULT_pos_FAVORITES_COPY_72462685_1787593565916,alpha_vault_portfolio.db,PAPER_VAULT,0x5c18894c248d5d295c0a6c614d811c2f3bdf13f523356d6cead1029a22a1cabf,atp-ivanov-penisto-2026-08-24,TENNIS_ATP_MONEYLINE,YES,1787593565.9163365,0.68,50.0,72.3715,0.7874,WIN,22.3715,FAVORITES_COPY,Alpha Vault lane: FAVORITES_COPY
VAULT_pos_FAVORITES_COPY_10162797_1787597163728,alpha_vault_portfolio.db,PAPER_VAULT,0x0189515f3f8d01a3cf6a7eee01b2f8414b4be8ec8241143d2a33bf1c819eac7f,atp-jones-svajd-2026-08-24,TENNIS_ATP_MONEYLINE,YES,1787597163.7283692,0.58,50.0,84.4338,1.0284,WIN,34.4338,FAVORITES_COPY,Alpha Vault lane: FAVORITES_COPY
VAULT_pos_FAVORITES_COPY_85146083_1787603759519,alpha_vault_portfolio.db,PAPER_VAULT,0x2ee7d436ec3c397799babb4ec656d063dc357c9a548d89f098592cf71673a3a8,bitcoin-up-or-down-august-24-2026-4pm-et,CRYPTO_HOURLY_LATE_CLOSE,YES,1787603759.5196252,0.33,50.0,144.7274,2.2399,WIN,94.7274,FAVORITES_COPY,Alpha Vault lane: FAVORITES_COPY
VAULT_pos_FAVORITES_COPY_11048204_1787605565556,alpha_vault_portfolio.db,PAPER_VAULT,0x9f6807d1c643ee930b873410ff1950efc24db14c112fd5db16d3ce20b69c30e1,mlb-tex-cws-2026-08-24,BASEBALL_MONEYLINE,YES,1787605565.5561714,0.56,50.0,87.3637,1.0763,WIN,37.3637,FAVORITES_COPY,Alpha Vault lane: FAVORITES_COPY
